TERMINALNO,TIME,TRIP_ID,LONGITUDE,LATITUDE,DIRECTION,HEIGHT,SPEED,CALLSTATE,Y
1,1476923580,1,122.985168,41.103741,12,39.402588,2.15,0,0
1,1476923640,1,122.984398,41.104904,24,39.311157,4.11,0,0
1,1476923700,1,122.986496,41.106388,74,34.178955,2.99,0,0
1,1476923760,1,122.989769,41.106884,115,37.765381,7.59,0,0
1,1476923820,1,122.991089,41.105442,151,36.049194,0.24,0,0
1,1476939900,2,122.977905,41.103439,17,60.467529,1.42,4,0
1,1476939960,3,122.979752,41.107075,17,22.702515,3.96,4,0
1,1476940020,3,122.981956,41.109329,123,35.781616,4.66,4,0
1,1476940080,3,122.982986,41.108887,99,61.23291,0.64,4,0
1,1476940140,3,122.983658,41.10894,16,82.89917,4.68,4,0
1,1476940200,3,122.982796,41.110947,281,48.97876,0,4,0
1,1476940260,3,122.982872,41.110989,292,42.9198,0.46,4,0
1,1476940320,3,122.982048,41.110844,208,38.342041,4.34,4,0
1,1476940380,3,122.981003,41.109879,40,35.922485,2.83,4,0
1,1476940440,3,122.980751,41.110542,303,31.136841,0,4,0
1,1476940980,4,122.97847,41.104755,203,42.92395,2.3,4,0
1,1476941040,4,122.98053,41.10767,32,47.598816,13.56,4,0
1,1476941100,4,122.981606,41.109352,47,50.510559,0,4,0
1,1476941160,4,122.981773,41.109295,108,56.812012,0,4,0
1,1476941220,4,122.982033,41.109173,144,57.08429,0.75,4,0
1,1476941700,5,122.98719,41.108715,110,51.996033,10.19,4,0
1,1476941760,5,122.989449,41.107033,161,49.507263,8.05,4,0
1,1476941820,5,122.990799,41.106472,163,44.293213,0.62,4,0
1,1476941880,5,122.990807,41.106411,144,44.632446,0.62,4,0
1,1476941940,5,122.990578,41.106323,291,52.950439,1.85,4,0
1,1476923280,6,122.978073,41.095844,31,43.192444,2.79,0,0
1,1476923340,6,122.979309,41.098061,22,48.085327,8.12,0,0
1,1476923400,6,122.981155,41.099125,47,44.47522,5.1,0,0
1,1476923460,6,122.983727,41.10157,34,45.226379,3.51,0,0
1,1476923520,6,122.984138,41.101902,40,49.462158,4.18,0,0
1,1482487560,7,122.997269,41.085255,111,49.805847,4.2,0,0
1,1482487500,7,122.992302,41.086094,114,45.114197,9.47,0,0
1,1482486780,7,122.990105,41.108288,260,47.52002,5.64,0,0
1,1482486840,7,122.98912,41.105766,213,46.865662,6.73,0,0
1,1482486900,7,122.986626,41.101719,209,47.902283,8.06,0,0
1,1482486960,7,122.989326,41.099957,111,46.052795,2.1,0,0
1,1482487020,7,122.988388,41.096157,207,40.162781,11.29,0,0
1,1482487080,7,122.985794,41.091816,205,37.336731,8.87,0,0
1,1482487140,7,122.985344,41.091057,209,49.986816,0.23,0,0
1,1482487200,7,122.985222,41.090862,189,41.217896,0.61,0,0
1,1482487260,7,122.987038,41.090431,100,48.415344,4.23,0,0
1,1482487320,7,122.989914,41.089661,116,74.981812,5.74,0,0
1,1482487380,7,122.99044,41.089642,169,64.9328,1.92,0,0
1,1482487440,7,122.989548,41.087769,204,62.828064,5.51,0,0
1,1482495120,8,122.982605,41.111084,295,39.307556,0,4,0
1,1482494880,8,122.979599,41.099716,283,40.175598,6.44,4,0
1,1482494820,8,122.977409,41.094589,32,38.990479,6.33,4,0
1,1482494760,8,122.977043,41.094215,13,45.17511,0.71,4,0
1,1482494700,8,122.976562,41.094181,-1,51.422249,-1,4,0
1,1482490740,9,122.977943,41.095928,204,45.907898,8.25,4,0
1,1482490680,9,122.980003,41.09948,137,53.089722,8.43,4,0
1,1482490620,9,122.978844,41.100117,214,44.100281,0,4,0
1,1482494940,10,122.980675,41.103222,35,50.429016,4.24,4,0
1,1482495000,10,122.983612,41.108505,14,72.836853,4.32,4,0
1,1482495060,10,122.982445,41.111069,288,57.393372,0,4,0
1,1482490560,11,122.980545,41.103165,205,53.802124,9.13,4,0
1,1482490500,11,122.983559,41.105518,247,56.131775,12.3,4,0
1,1482488880,12,122.984352,41.104851,15,63.483459,2.22,4,0
1,1482488700,12,122.988625,41.100342,325,53.224976,8.3,3,0
1,1482488580,12,122.989067,41.097458,17,48.796509,0,0,0
1,1482488520,12,122.987938,41.095257,23,50.947205,11.84,0,0
1,1482488400,12,122.985374,41.090851,23,41.20813,8.24,0,0
1,1482488340,12,122.984863,41.089985,26,43.852417,7.95,0,0
1,1482488280,12,122.988777,41.087444,297,42.809265,9.84,0,0
1,1482488220,12,122.990044,41.086948,297,49.107849,0,0,0
1,1482488160,12,122.996109,41.085342,258,51.613831,9.22,0,0
1,1482488100,12,123.00013,41.085857,281,51.352356,7.79,0,0
1,1482487980,12,123.005638,41.08577,330,52.879028,0.45,0,0
1,1482487740,13,123.006187,41.083294,149,95.876892,0,0,0
1,1482487680,13,123.003586,41.083138,71,68.951843,5.82,0,0
1,1482487620,13,123.000488,41.082325,133,59.327148,4.19,0,0
1,1477650360,14,122.974968,41.091915,107,35.861572,5.62,0,0
1,1477650420,14,122.980186,41.090202,112,43.281311,10.14,0,0
1,1477650540,14,122.983162,41.089264,108,49.208618,6.84,0,0
1,1477650600,14,122.988327,41.08744,115,50.261536,8.55,0,0
1,1477650660,14,122.994576,41.085323,114,50.854492,7.91,0,0
1,1477650720,14,122.998047,41.08569,71,50.675537,6.38,0,0
1,1477650840,14,123.005066,41.086147,62,54.881653,0,0,0
1,1477650900,14,123.005257,41.086536,341,58.246887,7.71,0,0
1,1477650960,14,123.004829,41.087593,325,53.307373,0.38,0,0
1,1477651320,15,123.003906,41.089241,337,66.942505,7.36,0,0
1,1477651380,15,123.001991,41.088844,244,67.451599,9.69,0,0
1,1477651440,15,122.996666,41.088905,304,59.541138,9.5,0,0
1,1477651500,15,122.993156,41.089264,279,35.843201,4.64,0,0
1,1477651620,15,122.990494,41.08984,291,43.932922,6.07,0,0
1,1477666560,16,122.981071,41.109863,354,57.361389,0,0,0
1,1477666500,16,122.981071,41.109848,27,60.530945,0.33,0,0
1,1477666440,16,122.981979,41.110771,204,56.662781,10.82,0,0
1,1477666380,16,122.98262,41.111053,294,59.949951,2.07,0,0
1,1477666320,16,122.982323,41.105713,25,51.421082,10.55,0,0
1,1477666260,17,122.98024,41.102455,27,47.626953,12.69,0,0
1,1477666200,17,122.978966,41.097214,23,61.956909,12.22,0,0
1,1477651740,18,122.986099,41.090561,279,61.12915,0,0,0
1,1477651680,18,122.986687,41.090576,288,83.657288,0.89,0,0
1,1477650060,19,122.982368,41.111385,171,52.84021,1.94,0,0
1,1477650120,19,122.981354,41.109661,199,34.848694,8.09,0,0
1,1477650180,19,122.977997,41.104225,202,33.939941,11.78,0,0
1,1477650240,19,122.97477,41.098362,205,38.409363,11.17,0,0
1,1477650300,19,122.971771,41.092903,202,46.114197,8.8,0,0
1,1482499920,20,123.37326,41.716949,17,30.345642,20.629999,4,0
1,1482499860,20,123.366478,41.704372,22,38.545288,29.379999,4,0
1,1482499800,20,123.356171,41.689888,14,42.970276,29.75,4,0
1,1482499740,20,123.350319,41.675701,27,28.754395,24.4,4,0
1,1482499680,20,123.34816,41.664783,342,14.483643,18.530001,4,0
1,1482499620,20,123.350281,41.655998,354,0.178314,15.45,4,0
1,1482499140,21,123.355095,41.56348,8,47.170593,31.52,4,0
1,1482499080,21,123.351746,41.546211,8,50.785339,32.5,4,0
1,1482499020,21,123.34771,41.528931,11,67.630127,32.639999,4,0
1,1482498960,21,123.344574,41.511414,9,49.499939,32.75,4,0
1,1482498480,21,123.284111,41.38435,23,7.189758,29.52,4,0
1,1482498540,21,123.296516,41.398556,33,11.211487,32.200001,4,0
1,1482498600,21,123.307724,41.413467,14,21.458313,30.559999,4,0
1,1482498660,21,123.311638,41.429352,11,40.661438,29.6,4,0
1,1482498720,21,123.318848,41.444412,22,30.656921,30.959999,4,0
1,1482498780,21,123.3274,41.460377,21,14.928284,31.809999,4,0
1,1482498840,21,123.336037,41.476715,21,15.424438,31.809999,4,0
1,1482498900,21,123.341225,41.493938,6,27.400208,32.709999,4,0
1,1482504540,22,123.812653,42.272289,53,25.526489,17.620001,4,0
1,1482504480,22,123.80101,42.266045,51,18.869629,19.549999,4,0
1,1482504420,22,123.789459,42.259846,57,38.700745,16.959999,4,0
1,1482504360,22,123.779167,42.25441,52,78.822083,22.59,4,0
1,1482504300,22,123.76239,42.245388,41,76.702576,31.02,4,0
1,1482504240,22,123.748146,42.231892,36,64.410522,32.209999,4,0
1,1482504180,22,123.734009,42.218136,36,65.000244,32.080002,4,0
1,1482504120,22,123.719917,42.204556,37,52.492065,31.57,4,0
1,1482504060,22,123.705948,42.190811,41,16.413818,30.84,4,0
1,1482504000,22,123.689178,42.179474,51,18.490051,32.419998,4,0
1,1482503940,22,123.672058,42.168365,49,13.012878,32.07,4,0
1,1482496920,23,122.979752,41.111214,24,16.258667,6.98,4,0
1,1482496980,23,122.982559,41.115692,24,32.330566,11.89,4,0
1,1482497040,23,122.987144,41.123505,26,36.192139,20.360001,4,0
1,1482497100,23,122.998032,41.133358,42,40.700439,24.700001,4,0
1,1482497160,23,123.007469,41.144943,34,32.880066,24.290001,4,0
1,1482497220,23,123.018089,41.155663,12,36.939941,25.459999,4,0
1,1482497280,23,123.021378,41.168274,26,32.257324,23.959999,4,0
1,1482497340,23,123.032761,41.181122,33,33.046936,31.84,4,0
1,1482498420,23,123.276215,41.3694,22,-7.248444,25.889999,4,0
1,1482503880,24,123.654724,42.157261,49,24.391724,32.619999,4,0
1,1482503820,24,123.637276,42.146236,49,17.564941,30.5,4,0
1,1482503760,24,123.620277,42.135769,52,36.788879,31.6,4,0
1,1482497400,25,123.045509,41.195633,33,22.735901,32.5,4,0
1,1482497460,25,123.058311,41.21022,33,25.888733,32.52,4,0
1,1482497520,25,123.071098,41.224937,33,17.863586,32.41,4,0
1,1482503700,26,123.601685,42.125553,53,30.636597,31.26,4,0
1,1482503640,26,123.583603,42.115307,53,21.294678,32.040001,4,0
1,1482503580,26,123.565399,42.104855,50,49.779785,31.32,4,0
1,1482503520,26,123.547768,42.09383,48,41.551392,30.25,4,0
1,1482503460,26,123.531097,42.08205,37,44.881653,30.040001,4,0
1,1482503400,26,123.514023,42.070488,43,59.053223,31.77,4,0
1,1482503340,26,123.507408,42.054672,5,67.09375,32.119999,4,0
1,1482503280,26,123.505379,42.037533,7,76.06311,32.540001,4,0
1,1482503220,26,123.506065,42.020283,355,58.21167,31.68,4,0
1,1482503160,26,123.508408,42.002895,355,43.107849,32.029999,4,0
1,1482503100,26,123.508194,41.986164,9,53.371826,31.68,4,0
1,1482503040,26,123.505531,41.969219,3,59.328369,31.58,4,0
1,1482502980,26,123.503929,41.95208,4,65.011902,30.43,4,0
1,1482502920,26,123.49955,41.935989,22,64.414856,27.99,4,0
1,1482502860,26,123.491058,41.920551,21,67.717712,32.540001,4,0
1,1482502800,26,123.482117,41.904362,22,61.357544,32.610001,4,0
1,1482502740,26,123.47303,41.888645,14,75.976257,31.4,4,0
1,1482502680,26,123.470413,41.872631,4,49.822205,26.889999,4,0
1,1482502620,26,123.468903,41.859402,8,64.299866,21.84,4,0
1,1482505500,26,123.940704,42.388157,34,77.417358,31.84,4,0
1,1482505440,26,123.927429,42.374165,40,89.581299,30.280001,4,0
1,1482505380,26,123.912651,42.36116,40,75.320435,30.92,4,0
1,1482502560,26,123.46521,41.847073,12,47.53125,25.17,4,0
1,1482502500,26,123.461014,41.834564,21,49.884888,22,4,0
1,1482502440,26,123.452843,41.825958,43,42.786499,16.68,4,0
1,1482497580,27,123.089073,41.23513,63,13.686279,32.220001,4,0
1,1482497640,27,123.107613,41.24538,50,29.509766,32.330002,4,0
1,1482497700,27,123.125526,41.256531,50,34.485413,32.369999,4,0
1,1482497760,27,123.143188,41.267685,50,28.096802,32.779999,4,0
